사원번호,이름,성별,나이,생년월일,주민등록번호,병역,입사일,근속기간,학력,출신대학,학점,채용경로,계약형태,이전직장명,이전최종직급,이전담당업무,회사명,사업장위치,부서,팀,부서레벨,직급,직책,직급레벨,퇴직구분,퇴직일자,이메일,전화번호,주소
EMP0001,지준서,남,30,1997-09-19,970919-1367382,군필,2024-05-02,2,대졸,연세대학교,3.7,추천,정규직,,,,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,사원,팀원,1,,,jijunseo16@nate.com,010-1647-2192,서울시 마포구 합정동
EMP0002,심건우,남,31,1996-12-04,961204-1373441,군필,2023-04-07,3,고졸,,,인턴전환,계약직,,,,두리안정보기술,서울 강남,인사부,채용팀,3,대리,팀원,1,,,shimgunwoo82@hanmail.net,010-6530-5216,경기도 성남시 분당구 판교동
EMP0003,남지유,여,46,1981-09-16,810916-2661762,해당없음,2009-03-24,17,대졸,건국대학교,3.6,공채,정규직,,,,두리안정보기술,서울 여의도,기획부,전략기획팀,1,부장,팀장,2,,,namjiyu_209@naver.com,010-9625-5135,서울시 노원구 상계동
EMP0004,배하린,여,33,1994-12-08,941208-2148823,해당없음,2020-10-08,5,전문대졸,영진전문대학교,3.3,추천,정규직,,,,두리안정보기술,서울 여의도,개발부,백엔드팀,1,대리,팀원,1,자발적퇴직,2025-09-16,baeharin.4@naver.com,010-7525-2260,서울시 강동구 천호동
EMP0005,주민재,남,37,1990-07-25,900725-1186023,군필,2015-09-11,10,대졸,부산대학교,3.2,공채,정규직,,,,두리안정보기술,서울 강남,인사부,채용팀,3,과장,팀장,1,,,juminjae95@gmail.com,010-6050-8286,서울시 노원구 상계동
EMP0006,조수아,여,26,2001-09-17,010917-4275329,해당없음,2024-08-18,1,대졸,고려대학교,3.4,공채,계약직,,,,두리안정보기술,서울 강남,개발부,백엔드팀,1,사원,팀원,1,,,josua_901@nate.com,010-9123-4203,서울시 강서구 마곡동
EMP0007,장재원,남,30,1997-06-15,970615-1559753,군필,2024-10-13,1,대학원졸,중앙대학교,3.2,경력,정규직,네이버,과장,프로젝트관리,두리안정보기술,서울 강남,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,jangjaewon_611@daum.net,010-3525-7932,서울시 은평구 불광동
EMP0008,유재현,남,40,1987-12-14,871214-1821068,군필,2017-09-17,8,고졸,,,공채,정규직,,,,두리안정보기술,경기 판교,개발부,AI팀,1,과장,팀원,1,,,yoojaehyun54@gmail.com,010-5840-7815,서울시 강남구 논현동
EMP0009,방준서,남,31,1996-04-17,960417-1295440,미필,2021-08-26,4,대졸,고려대학교,3.0,추천,계약직,,,,두리안정보기술,서울 강남,영업부,해외영업팀,1,대리,팀원,1,,,bangjunseo_706@naver.com,010-5560-2025,경기도 고양시 일산동구 장항동
EMP0010,성현우,남,32,1995-05-22,950522-1702727,군필,2022-08-04,3,고졸,,,추천,계약직,,,,두리안정보기술,서울 강남,기획부,사업기획팀,1,대리,팀원,1,,,sunghyunwoo81@daum.net,010-3298-4065,서울시 용산구 이태원동
EMP0011,민서현,여,27,2000-07-18,000718-4896922,해당없음,2023-03-07,3,전문대졸,경북전문대학교,3.2,추천,계약직,,,,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,대리,팀원,1,자발적퇴직,2024-10-17,minseohyun48@daum.net,010-6711-2425,서울시 강서구 마곡동
EMP0012,함민재,남,29,1998-03-20,980320-1361805,군필,2022-11-14,3,대졸,광운대학교,3.3,인턴전환,정규직,,,,두리안정보기술,서울 강남,인사부,채용팀,3,사원,팀원,1,,,hamminjae.3@nate.com,010-5402-7786,서울시 은평구 불광동
EMP0013,정하린,여,35,1992-06-15,920615-2899281,해당없음,2018-05-23,7,고졸,,,공채,정규직,,,,두리안정보기술,경기 판교,영업부,국내영업팀,1,대리,팀원,1,,,jungharin3@kakao.com,010-4314-3161,경기도 용인시 기흥구 영덕동
EMP0014,한나은,여,29,1998-11-21,981121-2485416,해당없음,2024-02-12,2,전문대졸,명지전문대학,3.1,경력,정규직,SK하이닉스,차장,프론트엔드개발,두리안정보기술,서울 여의도,개발부,인프라팀,1,사원,팀원,1,자발적퇴직,2025-02-11,hannaeun.9@gmail.com,010-3688-8210,서울시 노원구 상계동
EMP0015,나준서,남,36,1991-04-03,910403-1409898,군필,2018-08-28,7,대졸,세종대학교,3.9,인턴전환,정규직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,대리,팀원,1,,,najunseo.2@gmail.com,010-6916-6185,서울시 서초구 방배동
EMP0016,주수진,여,35,1992-08-25,920825-2662445,해당없음,2018-03-25,8,대졸,서울대학교,3.9,공채,정규직,,,,두리안정보기술,서울 강남,개발부,백엔드팀,1,대리,팀원,1,,,jusujin90@kakao.com,010-2900-8428,인천시 부평구 부평동
EMP0017,전현우,남,24,2003-03-16,030316-3857888,미필,2025-12-01,0,전문대졸,경북전문대학교,3.6,인턴전환,정규직,,,,두리안정보기술,경기 판교,기획부,사업기획팀,1,사원,팀원,1,,,jeonhyunwoo41@daum.net,010-7274-3458,서울시 마포구 상암동
